Name: CCTV-9, URL: http://php.cqshushu.ggff.net/jzb.php?id=cctv9&公众号【医工学习日志】, From: subscribe, IPv_Type: ipv4, Location: 中国-香港-新界, ISP: LARUS, Date: None, Delay: 827 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-10, URL: http://106.53.99.30/php/cctv/cctvnews.php?id=cctv10&q=gq, From: subscribe, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 腾讯云, Date: None, Delay: 587 ms, Speed: 3.54 M/s, Resolution: 1920x1080
Name: CCTV-10, URL: https://live.chinacert.cftest5.cn/mg/?id=624878405, From: subscribe, IPv_Type: ipv6, Location: 中国, ISP: 中国联通, Date: None, Delay: 1317 ms, Speed: 1.27 M/s, Resolution: 1280x720
Name: CCTV-10, URL: http://120.46.223.160/PHP/MG.php?id=624878405, From: subscribe, IPv_Type: ipv4, Location: 中国-北京-北京, ISP: 华为云, Date: None, Delay: 1317 ms, Speed: 1.27 M/s, Resolution: 1280x720
Name: CCTV-10, URL: http://112.6.239.227:8207/hls/11/index.m3u8, From: subscribe, IPv_Type: ipv4, Location: 中国-山东, ISP: 移动, Date: None, Delay: 12756 ms, Speed: 0.77 M/s, Resolution: 1920x1080
Name: CCTV-10, URL: http://61.184.46.85:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0, From: subscribe, IPv_Type: ipv4, Location: 中国-湖北-荆州, ISP: 电信, Date: None, Delay: 12969 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV-10, URL: http://61.184.46.85:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0, From: subscribe, IPv_Type: ipv4, Location: 中国-湖北-荆州, ISP: 电信, Date: None, Delay: 12969 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV-10, URL: http://116.128.242.83:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0, From: subscribe, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 联通, Date: None, Delay: 1387 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-10, URL: http://php.cqshushu.ggff.net/jzb.php?id=cctv10&公众号【医工学习日志】, From: subscribe, IPv_Type: ipv4, Location: 中国-香港-新界, ISP: LARUS, Date: None, Delay: 827 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-11, URL: http://php.jdshipin.com/TVOD/hljyd.php?id=3221226565, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: 61 ms, Speed: 88.57 M/s, Resolution: None
Name: CCTV-11, URL: http://xtvantsc.xyz/Smart.php?id=cctv11, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 216 ms, Speed: 2.99 M/s, Resolution: 854x480
Name: CCTV-11, URL: http://xtvantsc.xyz/Smart.php?id=cctv11, From: subscribe, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 216 ms, Speed: 2.99 M/s, Resolution: 854x480
